ModelMet,ArticleMet
6pgc_c,PGP
adp_c,ADP
akg_c,AKG
fdp_c,FBP
atp_c,ATP
camp_c,cAMP
g6p_c,G6P
cit_c,Cit
glu__L_c,L-Gln
gmp_c,GMP
mal__L_c,Mal
gtp_c,GTP
met__L_c,L-Met
pep_c,PEP
nad_c,NAD
phe__L_c,L-Phe
nadp_c,NADP
pyr_c,Pyr
val__L_c,L-Val
r5p_c,R5P
akg_e,AKG
cit_e,Cit
gmp_e,GMP
gtp_e,GTP
pyr_e,Pyr
r5p_e,R5P
mal__L_e,Mal
g6p_e,G6P
met__L_e,L-Met
glu__L_e,L-Gln
val__L_e,L-Val
phe__L_e,L-Phe
cit_p,Cit
g6p_p,G6P
akg_p,AKG
glu__L_p,L-Gln
gmp_p,GMP
gtp_p,GTP
mal__L_p,Mal
met__L_p,L-Met
phe__L_p,L-Phe
val__L_p,L-Val
pyr_p,Pyr
r5p_p,R5P
